F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
     From local governments1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
General revenue from own sources,"2,408,099,493",0.00,"29,069,591",0.00,"8,152,427",0.00,"36,643,850",0.00,"17,625,184",0.00,"356,655,060",0.00,"41,749,478",0.00,"33,150,917",0.00,"7,501,986",0.00,"9,313,809",0.00,"126,228,776",0.00,"57,119,842",0.00,"14,199,691",0.00,"9,449,298",0.00,"95,855,064",0.00,"41,610,599",0.00,"25,574,218",0.00,"22,072,716",0.00,"25,281,246",0.00,"29,123,451",0.00,"9,141,501",0.00,"48,709,814",0.00,"60,215,130",0.00,"66,502,383",0.00,"47,066,182",0.00,"18,093,699",0.00,"35,571,742",0.00,"5,972,149",0.00,"14,278,911",0.00,"18,233,643",0.00,"9,154,524",0.00,"82,545,322",0.00,"13,371,066",0.00,"229,846,381",0.00,"64,330,616",0.00,"7,077,199",0.00,"80,610,884",0.00,"22,218,008",0.00,"32,835,240",0.00,"93,258,105",0.00,"8,328,120",0.00,"32,384,552",0.00,"5,235,139",0.00,"34,248,176",0.00,"175,043,777",0.00,"21,140,942",0.00,"5,014,966",0.00,"61,929,669",0.00,"61,268,628",0.00,"11,082,684",0.00,"41,006,801",0.00,"6,006,337",0.00
    Taxes,"1,657,108,583",0.00,"16,410,186",0.00,"3,050,845",0.00,"26,032,182",0.00,"12,027,970",0.00,"247,695,114",0.00,"27,423,529",0.00,"27,628,032",0.00,"4,678,293",0.00,"7,666,286",0.00,"77,640,200",0.00,"39,203,764",0.00,"9,457,286",0.00,"6,350,908",0.00,"73,640,182",0.00,"26,360,716",0.00,"15,700,136",0.00,"13,484,798",0.00,"17,347,302",0.00,"19,994,446",0.00,"7,052,156",0.00,"37,692,886",0.00,"45,061,498",0.00,"42,330,296",0.00,"34,399,976",0.00,"10,930,392",0.00,"23,337,095",0.00,"4,177,710",0.00,"9,790,380",0.00,"13,416,671",0.00,"6,687,676",0.00,"63,027,752",0.00,"8,172,651",0.00,"177,906,136",0.00,"40,674,663",0.00,"4,913,077",0.00,"53,974,599",0.00,"13,616,479",0.00,"19,598,045",0.00,"66,535,005",0.00,"5,932,950",0.00,"17,555,476",0.00,"3,649,764",0.00,"22,118,438",0.00,"117,945,680",0.00,"12,594,593",0.00,"3,748,643",0.00,"40,514,766",0.00,"39,655,332",0.00,"7,190,347",0.00,"28,316,734",0.00,"2,798,542",0.00
          Property,"524,566,149",0.00,"2,837,663",0.00,"1,568,451",0.00,"7,726,306",0.00,"2,207,248",0.00,"63,330,156",0.00,"8,647,341",0.00,"10,780,704",0.00,"883,287",0.00,"2,540,862",0.00,"27,729,333",0.00,"12,154,729",0.00,"1,759,711",0.00,"1,727,785",0.00,"28,610,183",0.00,"6,640,521",0.00,"5,131,799",0.00,"4,465,226",0.00,"3,697,180",0.00,"4,214,254",0.00,"2,825,493",0.00,"9,644,835",0.00,"16,713,976",0.00,"14,093,127",0.00,"8,901,852",0.00,"3,032,207",0.00,"6,299,965",0.00,"1,670,721",0.00,"3,703,524",0.00,"3,006,643",0.00,"4,458,618",0.00,"29,330,737",0.00,"1,657,718",0.00,"56,852,063",0.00,"9,976,902",0.00,"1,153,080",0.00,"15,340,386",0.00,"2,880,990",0.00,"6,161,841",0.00,"19,483,518",0.00,"2,597,429",0.00,"5,911,475",0.00,"1,354,214",0.00,"5,477,031",0.00,"52,995,587",0.00,"3,184,821",0.00,"1,611,890",0.00,"13,951,450",0.00,"11,117,568",0.00,"1,715,530",0.00,"9,562,647",0.00,"1,245,572",0.00
          Sales and gross receipts,"581,274,778",0.00,"8,053,860",0.00,"616,797",0.00,"12,649,981",0.00,"6,101,836",0.00,"72,088,741",0.00,"10,177,001",0.00,"6,991,466",0.00,"573,384",0.00,"1,865,334",0.00,"40,369,509",0.00,"13,709,738",0.00,"4,790,113",0.00,"2,286,956",0.00,"24,815,793",0.00,"11,231,934",0.00,"5,223,008",0.00,"5,691,536",0.00,"6,369,336",0.00,"11,563,580",0.00,"2,171,758",0.00,"10,200,826",0.00,"9,228,922",0.00,"14,582,147",0.00,"11,047,102",0.00,"5,062,054",0.00,"8,854,074",0.00,"634,143",0.00,"2,891,026",0.00,"8,613,635",0.00,"962,073",0.00,"14,341,196",0.00,"4,262,454",0.00,"44,118,730",0.00,"15,031,003",0.00,"1,619,493",0.00,"21,476,184",0.00,"6,008,311",0.00,"2,108,777",0.00,"21,594,979",0.00,"1,722,342",0.00,"5,585,444",0.00,"1,918,065",0.00,"12,419,849",0.00,"57,135,282",0.00,"4,779,110",0.00,"1,083,693",0.00,"9,910,196",0.00,"24,577,128",0.00,"2,804,265",0.00,"8,476,877",0.00,"883,737",0.00
               General sales,"393,759,274",0.00,"5,057,545",0.00,"233,759",0.00,"10,363,019",0.00,"4,561,341",0.00,"53,207,859",0.00,"7,455,680",0.00,"4,236,619",0.00,0,0.00,"1,418,935",0.00,"27,761,468",0.00,"9,287,472",0.00,"3,462,574",0.00,"1,658,435",0.00,"14,411,303",0.00,"7,556,326",0.00,"3,548,346",0.00,"4,322,807",0.00,"3,490,653",0.00,"8,645,377",0.00,"1,441,867",0.00,"4,609,538",0.00,"6,240,822",0.00,"9,986,926",0.00,"6,106,985",0.00,"3,483,438",0.00,"6,439,486",0.00,0,0.00,"2,234,400",0.00,"5,486,444",0.00,0,0.00,"9,591,881",0.00,"3,357,565",0.00,"30,391,167",0.00,"10,550,750",0.00,"1,114,521",0.00,"15,005,206",0.00,"4,558,408",0.00,0,0.00,"11,430,195",0.00,"996,390",0.00,"3,899,548",0.00,"1,434,331",0.00,"9,055,308",0.00,"40,385,667",0.00,"3,379,360",0.00,"389,549",0.00,"5,430,650",0.00,"18,407,905",0.00,"1,383,034",0.00,"5,610,211",0.00,"678,204",0.00
               Selective sales,"187,515,504",0.00,"2,996,315",0.00,"383,038",0.00,"2,286,962",0.00,"1,540,495",0.00,"18,880,882",0.00,"2,721,321",0.00,"2,754,847",0.00,"573,384",0.00,"446,399",0.00,"12,608,041",0.00,"4,422,266",0.00,"1,327,539",0.00,"628,521",0.00,"10,404,490",0.00,"3,675,608",0.00,"1,674,662",0.00,"1,368,729",0.00,"2,878,683",0.00,"2,918,203",0.00,"729,891",0.00,"5,591,288",0.00,"2,988,100",0.00,"4,595,221",0.00,"4,940,117",0.00,"1,578,616",0.00,"2,414,588",0.00,"634,143",0.00,"656,626",0.00,"3,127,191",0.00,"962,073",0.00,"4,749,315",0.00,"904,889",0.00,"13,727,563",0.00,"4,480,253",0.00,"504,972",0.00,"6,470,978",0.00,"1,449,903",0.00,"2,108,777",0.00,"10,164,784",0.00,"725,952",0.00,"1,685,896",0.00,"483,734",0.00,"3,364,541",0.00,"16,749,615",0.00,"1,399,750",0.00,"694,144",0.00,"4,479,546",0.00,"6,169,223",0.00,"1,421,231",0.00,"2,866,666",0.00,"205,533",0.00
                    Motor fuel,"46,531,254",0.00,"683,090",0.00,"45,944",0.00,"856,495",0.00,"487,526",0.00,"4,842,749",0.00,"653,790",0.00,"484,479",0.00,"129,487",0.00,"26,098",0.00,"3,540,230",0.00,"1,741,092",0.00,"168,243",0.00,"353,548",0.00,"1,513,090",0.00,"854,536",0.00,"674,603",0.00,"458,008",0.00,"701,440",0.00,"634,883",0.00,"252,870",0.00,"1,078,313",0.00,"769,442",0.00,"1,118,262",0.00,"912,644",0.00,"452,692",0.00,"720,849",0.00,"231,065",0.00,"354,234",0.00,"592,236",0.00,"152,086",0.00,"532,878",0.00,"242,627",0.00,"1,647,240",0.00,"1,922,400",0.00,"189,718",0.00,"1,985,084",0.00,"473,960",0.00,"555,604",0.00,"3,143,576",0.00,"90,990",0.00,"583,476",0.00,"189,179",0.00,"915,858",0.00,"3,585,179",0.00,"500,948",0.00,"81,020",0.00,"1,051,806",0.00,"1,812,646",0.00,"383,905",0.00,"1,044,996",0.00,"114,140",0.00
                    Alcoholic beverage,"7,269,100",0.00,"267,380",0.00,"45,994",0.00,"74,126",0.00,"61,897",0.00,"370,714",0.00,"44,866",0.00,"63,155",0.00,"20,577",0.00,"6,641",0.00,"323,393",0.00,"340,596",0.00,"51,167",0.00,"9,535",0.00,"365,207",0.00,"49,404",0.00,"22,535",0.00,"137,801",0.00,"146,227",0.00,"79,632",0.00,"19,266",0.00,"32,151",0.00,"85,397",0.00,"159,378",0.00,"94,193",0.00,"41,818",0.00,"37,863",0.00,"35,558",0.00,"30,911",0.00,"45,011",0.00,"12,678",0.00,"137,784",0.00,"8,919",0.00,"283,504",0.00,"469,339",0.00,"8,872",0.00,"125,307",0.00,"118,260",0.00,"18,796",0.00,"426,048",0.00,"20,873",0.00,"177,967",0.00,"17,088",0.00,"407,779",0.00,"1,228,641",0.00,"50,002",0.00,"26,102",0.00,"224,426",0.00,"354,939",0.00,"26,302",0.00,"61,203",0.00,"1,878",0.00
                    Tobacco products,"19,003,800",0.00,"217,906",0.00,"105,773",0.00,"310,706",0.00,"228,540",0.00,"852,894",0.00,"201,466",0.00,"381,778",0.00,"112,349",0.00,"29,530",0.00,"1,197,666",0.00,"220,774",0.00,"124,160",0.00,"50,883",0.00,"942,376",0.00,"434,337",0.00,"220,938",0.00,"138,698",0.00,"243,096",0.00,"174,001",0.00,"144,243",0.00,"386,965",0.00,"619,437",0.00,"1,038,594",0.00,"681,018",0.00,"144,792",0.00,"113,443",0.00,"83,608",0.00,"56,954",0.00,"195,371",0.00,"203,102",0.00,"697,577",0.00,"77,887",0.00,"1,302,911",0.00,"292,138",0.00,"28,977",0.00,"1,109,821",0.00,"320,270",0.00,"247,406",0.00,"1,401,259",0.00,"140,074",0.00,"26,383",0.00,"61,809",0.00,"256,762",0.00,"1,467,486",0.00,"117,514",0.00,"76,686",0.00,"231,612",0.00,"430,022",0.00,"194,647",0.00,"644,478",0.00,"22,683",0.00
                    Public utilities,"27,007,120",0.00,"774,332",0.00,"15,016",0.00,"213,662",0.00,"157,360",0.00,"4,071,088",0.00,"151,986",0.00,"283,433",0.00,"58,372",0.00,"187,667",0.00,"4,030,750",0.00,"383,545",0.00,"241,850",0.00,"41,338",0.00,"2,518,804",0.00,"246,079",0.00,"242,135",0.00,"230,694",0.00,"382,219",0.00,"201,598",0.00,"28,518",0.00,"592,139",0.00,0,0.00,"86,123",0.00,"135,110",0.00,"62,758",0.00,"379,600",0.00,"43,468",0.00,"119,565",0.00,"285,187",0.00,"56,007",0.00,"1,046,295",0.00,"86,199",0.00,"1,678,906",0.00,259,0.00,"62,383",0.00,"1,203,263",0.00,"143,086",0.00,"327,111",0.00,"1,252,847",0.00,"97,711",0.00,"102,132",0.00,"13,070",0.00,"92,209",0.00,"1,922,193",0.00,"224,322",0.00,"10,777",0.00,"691,557",0.00,"1,307,318",0.00,"138,134",0.00,"357,757",0.00,"29,188",0.00
                    Other selective sales,"87,704,230",0.00,"1,053,607",0.00,"170,311",0.00,"831,973",0.00,"605,172",0.00,"8,743,437",0.00,"1,669,213",0.00,"1,542,002",0.00,"252,599",0.00,"196,463",0.00,"3,516,002",0.00,"1,736,259",0.00,"742,119",0.00,"173,217",0.00,"5,065,013",0.00,"2,091,252",0.00,"514,451",0.00,"403,528",0.00,"1,405,701",0.00,"1,828,089",0.00,"284,994",0.00,"3,501,720",0.00,"1,513,824",0.00,"2,192,864",0.00,"3,117,152",0.00,"876,556",0.00,"1,162,833",0.00,"240,444",0.00,"94,962",0.00,"2,009,386",0.00,"538,200",0.00,"2,334,781",0.00,"489,257",0.00,"8,815,002",0.00,"1,796,117",0.00,"215,022",0.00,"2,047,503",0.00,"394,327",0.00,"959,860",0.00,"3,941,054",0.00,"376,304",0.00,"795,938",0.00,"202,588",0.00,"1,691,933",0.00,"8,546,116",0.00,"506,964",0.00,"499,559",0.00,"2,280,145",0.00,"2,264,298",0.00,"678,243",0.00,"758,232",0.00,"37,644",0.00
          Individual income,"384,689,168",0.00,"3,751,172",0.00,0,0.00,"4,131,621",0.00,"2,767,767",0.00,"84,196,751",0.00,"6,791,929",0.00,"7,959,492",0.00,"1,180,975",0.00,"1,958,277",0.00,0,0.00,"10,977,693",0.00,"2,095,601",0.00,"1,660,248",0.00,"13,256,769",0.00,"6,566,828",0.00,"3,758,601",0.00,"2,328,898",0.00,"5,845,085",0.00,"2,949,939",0.00,"1,534,866",0.00,"14,402,977",0.00,"14,724,277",0.00,"9,949,167",0.00,"10,956,205",0.00,"1,798,856",0.00,"6,559,185",0.00,"1,180,344",0.00,"2,228,486",0.00,0,0.00,"65,467",0.00,"13,958,119",0.00,"1,043,515",0.00,"56,371,968",0.00,"12,086,332",0.00,"319,507",0.00,"14,015,703",0.00,"2,974,890",0.00,"8,379,225",0.00,"17,133,650",0.00,"1,238,928",0.00,"4,142,276",0.00,0,0.00,"249,977",0.00,0,0.00,"3,794,676",0.00,"743,630",0.00,"13,052,887",0.00,0,0.00,"1,813,866",0.00,"7,792,543",0.00,0,0.00
          Corporate income,"52,805,140",0.00,"520,113",0.00,"87,775",0.00,"374,941",0.00,"396,989",0.00,"10,112,520",0.00,"528,543",0.00,"897,247",0.00,"252,752",0.00,"554,245",0.00,"2,383,783",0.00,"971,898",0.00,"184,840",0.00,"216,641",0.00,"2,877,499",0.00,"1,025,498",0.00,"432,020",0.00,"386,966",0.00,"639,254",0.00,"291,321",0.00,"175,239",0.00,"1,001,934",0.00,"2,196,474",0.00,"1,195,399",0.00,"1,227,028",0.00,"407,913",0.00,"382,873",0.00,"124,821",0.00,"264,440",0.00,0,0.00,"573,653",0.00,"2,109,930",0.00,"89,708",0.00,"10,586,457",0.00,"757,041",0.00,"60,871",0.00,"221,344",0.00,"157,936",0.00,"717,496",0.00,"2,851,985",0.00,"129,732",0.00,"340,327",0.00,"30,728",0.00,"1,726,223",0.00,0,0.00,"326,592",0.00,"111,186",0.00,"826,961",0.00,0,0.00,"116,305",0.00,"959,699",0.00,0,0.00
          Motor vehicle license,"28,157,945",0.00,"239,816",0.00,"65,477",0.00,"218,511",0.00,"158,446",0.00,"4,317,538",0.00,"615,339",0.00,"235,105",0.00,"57,982",0.00,"38,935",0.00,"1,374,140",0.00,"364,255",0.00,"380,497",0.00,"196,917",0.00,"1,769,356",0.00,"339,993",0.00,"657,374",0.00,"253,768",0.00,"222,542",0.00,"86,882",0.00,"109,912",0.00,"501,360",0.00,"438,855",0.00,"1,236,380",0.00,"802,839",0.00,"158,099",0.00,"304,208",0.00,"165,339",0.00,"200,385",0.00,"213,455",0.00,"102,438",0.00,"667,056",0.00,"214,013",0.00,"1,582,156",0.00,"921,064",0.00,"120,119",0.00,"930,145",0.00,"732,063",0.00,"553,183",0.00,"928,512",0.00,"26,788",0.00,"259,488",0.00,"112,043",0.00,"473,276",0.00,"2,587,655",0.00,"205,613",0.00,"76,924",0.00,"666,230",0.00,"669,356",0.00,"4,344",0.00,"507,862",0.00,"93,912",0.00
          Other taxes,"85,615,403",0.00,"1,007,562",0.00,"712,345",0.00,"930,822",0.00,"395,684",0.00,"13,649,408",0.00,"663,376",0.00,"764,018",0.00,"1,729,913",0.00,"708,633",0.00,"5,783,435",0.00,"1,025,451",0.00,"246,524",0.00,"262,361",0.00,"2,310,582",0.00,"555,942",0.00,"497,334",0.00,"358,404",0.00,"573,905",0.00,"888,470",0.00,"234,888",0.00,"1,940,954",0.00,"1,758,994",0.00,"1,274,076",0.00,"1,464,950",0.00,"471,263",0.00,"936,790",0.00,"402,342",0.00,"502,519",0.00,"1,582,938",0.00,"525,427",0.00,"2,620,714",0.00,"905,243",0.00,"8,394,762",0.00,"1,902,321",0.00,"1,640,007",0.00,"1,990,837",0.00,"862,289",0.00,"1,677,523",0.00,"4,542,361",0.00,"217,731",0.00,"1,316,466",0.00,"234,714",0.00,"1,772,082",0.00,"5,227,156",0.00,"303,781",0.00,"121,320",0.00,"2,107,042",0.00,"3,291,280",0.00,"736,037",0.00,"1,017,106",0.00,"575,321",0.00
     Charges and miscellaneous general revenue,"750,990,910",0.00,"12,659,405",0.00,"5,101,582",0.00,"10,611,668",0.00,"5,597,214",0.00,"108,959,946",0.00,"14,325,949",0.00,"5,522,885",0.00,"2,823,693",0.00,"1,647,523",0.00,"48,588,576",0.00,"17,916,078",0.00,"4,742,405",0.00,"3,098,390",0.00,"22,214,882",0.00,"15,249,883",0.00,"9,874,082",0.00,"8,587,918",0.00,"7,933,944",0.00,"9,129,005",0.00,"2,089,345",0.00,"11,016,928",0.00,"15,153,632",0.00,"24,172,087",0.00,"12,666,206",0.00,"7,163,307",0.00,"12,234,647",0.00,"1,794,439",0.00,"4,488,531",0.00,"4,816,972",0.00,"2,466,848",0.00,"19,517,570",0.00,"5,198,415",0.00,"51,940,245",0.00,"23,655,953",0.00,"2,164,122",0.00,"26,636,285",0.00,"8,601,529",0.00,"13,237,195",0.00,"26,723,100",0.00,"2,395,170",0.00,"14,829,076",0.00,"1,585,375",0.00,"12,129,738",0.00,"57,098,097",0.00,"8,546,349",0.00,"1,266,323",0.00,"21,414,903",0.00,"21,613,296",0.00,"3,892,337",0.00,"12,690,067",0.00,"3,207,795",0.00
