,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
122,               Miscellaneous commercial activities,"5,529,760","13,831","401,285","11,799","42,336","1,277,243","86,975","3,625",0,0,"2,166,710","50,412",694,"6,377","9,339","25,794","75,938","17,514","54,918","51,228","10,802","39,027","18,448","88,517","29,549","9,350","31,335","66,065","11,006","26,680","6,815",931,"4,757","50,434","16,717","279,394","71,920","33,713","26,454","5,166","2,849","6,955","38,259","37,297","41,339","49,198","36,399","14,482","138,213","1,446","17,580","22,644"
123,               Other and unallocable,"195,154,025","2,032,542","984,240","1,618,939","527,887","21,149,017","2,850,488","4,727,388","590,702","1,208,418","12,956,284","5,232,979","2,886,377","609,863","12,035,067","3,515,111","1,838,173","1,312,365","1,017,611","2,422,601","762,069","4,726,838","9,537,833","5,646,571","2,993,480","808,161","3,622,406","307,824","1,751,953","981,709","867,967","10,897,300","1,704,427","24,785,631","2,766,238","549,212","4,035,534","1,122,142","2,998,129","4,305,556","942,125","1,652,213","414,015","2,878,659","9,749,681","1,835,100","728,466","3,881,227","3,960,787","760,000","2,590,680","1,074,040"
124,     Utility expenditure,"257,360,144","3,264,326","751,238","6,166,554","994,160","54,966,983","4,550,613","1,649,048","581,916","3,755,052","11,842,311","6,678,442","1,242,973","252,565","8,883,366","2,740,372","1,371,766","1,537,339","2,119,158","1,401,675","189,961","3,887,971","7,311,309","3,513,305","3,408,710","886,577","2,707,894","239,269","4,593,649","1,529,817","197,687","4,959,339","780,408","34,510,362","4,615,069","371,754","3,826,606","2,221,771","2,885,719","4,941,944","338,298","3,556,561","397,991","8,549,496","21,006,979","2,676,651","283,113","3,706,934","11,530,146","347,735","2,397,543","239,718"
125,               Capital outlay,"64,299,094","451,193","259,088","1,593,305","211,978","14,678,141","1,084,640","249,162","67,262","1,563,279","2,225,835","1,261,632","583,996","54,734","2,145,112","401,075","270,031","222,249","361,805","199,501","21,028","967,463","2,783,682","898,968","685,048","123,228","322,348","73,648","1,113,238","299,614","45,847","1,308,911","134,520","10,921,953","663,492","93,739","694,281","459,034","705,745","1,109,553","64,874","697,229","83,049","701,329","5,535,347","504,522","30,212","1,203,389","3,925,979","52,996","138,292","52,520"
126,          Water supply,"82,729,791","1,021,038","208,945","1,816,253","519,099","20,760,783","2,274,708","349,412","121,595","409,536","4,972,147","2,366,905","468,499","144,665","2,717,034","875,650","669,040","703,739","1,095,364","610,672","132,091","1,479,960","1,515,442","1,638,701","1,090,115","396,304","648,060","192,599","449,783","1,116,374","143,760","940,506","466,656","3,344,801","1,549,605","325,110","1,970,127","1,076,228","1,106,725","1,801,924","205,580","1,197,065","185,014","1,381,923","10,641,368","965,051","100,101","1,338,039","1,994,326","264,928","822,752","143,690"
127,          Electric power,"77,859,647","1,803,871","408,563","3,378,269","437,578","12,543,932","1,034,258","309,030","293,316",0,"4,341,589","2,466,696",0,"77,376","1,327,591","1,316,780","489,452","750,839","551,637","480,916","15,626","73,388","1,317,046","1,169,793","1,424,404","371,705","1,382,194","1,229","3,868,028","116,673","5,839","126,172","149,825","7,095,592","2,136,773","21,987","1,139,493","1,016,021","765,012","149,209","8,011","2,056,543","172,889","5,909,525","6,873,219","1,107,422","151,775","394,213","5,490,380","10,499","1,236,814","90,656"
128,          Gas supply,"6,259,717","360,335","74,912","39,234","1,420","288,594","144,693","19,563",0,0,"247,084","835,444",0,18,"240,453","263,100","93,548","29,511","275,013","77,622",50,"5,776","43,902",0,"86,639","85,725","118,330",0,"222,136",0,0,0,"49,684","6,206","133,116",136,"41,846","36,128",391,"436,688",0,"236,244","10,235","961,774","572,938","10,611",0,"203,673","5,674",227,"1,046",0
129,          Transit,"90,510,988","79,082","58,818","932,798","36,063","21,373,674","1,096,954","971,044","167,004","3,345,516","2,281,492","1,009,397","774,474","30,507","4,598,288","284,842","119,725","53,250","197,144","232,465","42,194","2,328,846","4,434,920","704,811","807,552","32,843","559,311","45,441","53,702","296,770","48,088","3,892,661","114,243","24,063,764","795,575","24,521","675,140","93,394","1,013,591","2,554,122","124,707","66,709","29,853","296,275","2,919,454","593,567","31,238","1,771,009","4,039,766","72,081","336,932","5,373"
130,     Liquor store expenditure,"10,505,365","440,937","6,881",0,0,0,0,0,0,0,0,0,0,"182,000",0,0,"297,161",0,0,0,"160,607","265,775",0,"1,180,521","292,813","508,466",0,"120,913",0,0,"620,459",0,0,0,"957,019",0,"1,367,441",0,"521,069","2,029,173",0,0,"14,350",0,0,"334,517","76,318","897,448",0,"102,146",0,"129,351"
131,     Insurance trust expenditure,"556,562,145","5,071,119","1,899,604","6,964,681","3,360,351","110,711,536","10,222,718","7,495,668","1,197,820","2,036,502","21,187,400","15,156,980","2,828,159","1,563,794","29,426,356","4,220,680","4,159,302","3,094,017","6,602,217","6,252,174","1,563,370","8,299,516","18,226,282","15,567,878","9,588,256","3,722,846","7,350,626","1,400,581","1,595,185","6,366,459","1,087,098","20,476,793","3,789,787","57,284,452","9,354,308","1,028,094","21,141,572","4,562,417","9,175,955","22,321,175","2,433,384","5,098,982","1,030,071","5,185,306","37,660,768","2,440,128","2,303,591","9,138,510","12,497,059","2,054,561","8,311,148","1,054,912"
132,          Unemployment compensation,"176,945,449","1,037,641","389,603","1,708,018","385,148","35,776,188","3,142,871","2,399,034","346,559","1,497,798","6,709,919","4,741,187","1,912,968","235,729","8,607,474","1,519,809","710,951","958,517","1,792,765","1,395,998","471,502","2,092,769","9,067,371","5,645,685","3,957,782","587,434","1,149,625","257,979","255,247","3,296,875","174,805","7,663,947","1,151,908","17,994,604","2,515,041","380,174","3,574,534","1,597,401","2,789,246","7,969,224","661,153","1,269,758","71,481","1,309,416","15,730,683","580,737","383,936","2,215,437","4,524,756","498,080","1,662,965","175,717"
133,          Employee retirement,"362,938,718","4,033,478","1,506,871","5,256,663","2,961,720","66,264,091","6,689,530","5,073,656","846,656","538,704","14,437,286","10,197,460","915,191","1,176,904","20,770,307","2,693,762","3,438,851","2,133,663","4,669,042","4,749,202","1,091,868","6,075,862","8,948,360","9,915,810","5,617,875","3,135,412","6,130,430","1,025,878","1,339,493","3,069,584","912,293","12,076,863","2,637,879","37,771,653","6,839,267","553,007","17,219,073","2,965,016","6,051,050","14,318,208","1,574,692","3,740,571","957,308","3,875,890","21,559,214","1,846,697","1,919,655","6,918,127","5,639,315","1,501,308","6,648,183","709,843"
134,          Workers' compensation,"7,917,197",0,"3,130",0,"13,483","1,112,549","387,786","22,978","4,605",0,"40,195",0,0,"151,161","48,575","7,109","9,500","1,837","140,410","57,730",0,"84,989","43,000","6,383","12,599",0,"70,571","116,724",445,0,0,"214,230",0,"1,518,195",0,"94,913","347,965",0,"335,659","33,743",774,"88,653","1,282",0,"370,871","12,694",0,"4,946","2,332,988","55,173",0,"169,352"
135,          Other insurance trust,"8,760,781",0,0,0,0,"7,558,708","2,531",0,0,0,0,"218,333",0,0,0,0,0,0,0,"49,244",0,"45,896","167,551",0,0,0,0,0,0,0,0,"521,753",0,0,0,0,0,0,0,0,"196,765",0,0,0,0,0,0,0,0,0,0,0
136,            Debt outstanding,"3,336,669,434","34,590,676","8,661,888","39,962,718","20,859,052","541,241,174","69,752,063","53,741,486","8,519,748","19,908,084","135,831,854","62,180,851","19,704,281","6,025,592","165,464,895","51,497,835","22,302,651","27,712,856","54,203,202","30,581,089","9,394,927","63,354,208","101,552,377","80,465,307","57,045,492","14,706,838","49,648,335","5,779,360","16,054,140","28,220,096","9,797,881","99,426,104","15,427,579","383,552,747","47,113,099","9,386,073","94,303,283","19,241,467","43,386,395","128,545,135","12,207,015","38,030,275","6,681,001","51,971,531","324,961,787","22,119,541","4,722,895","67,667,389","90,295,204","17,038,769","49,813,572","2,017,618"
137,Short-term,"44,536,950","236,790","143,574","812,195","13,465","908,348","216,998","323,975","12,812","108,084","197,442","495,026",0,"3,405","294,217","466,853","76,573","599,619","545,892","59,666","48,251","680,162","2,263,957","851,929","242,203","43,458","82,339","2,999","191,052","282,559","10,541","1,570,558","63,906","8,171,304","6,483","60,383","787,137","82,776","135,942","236,759","85,864","243,968","15,995","1,051,387","19,067,352","201,311","302,894","361,124","187,032","18,084","1,667,459","4,847"
138,Long-term,"3,292,132,484","34,353,886","8,518,314","39,150,523","20,845,586","540,332,825","69,535,065","53,417,511","8,506,936","19,800,000","135,634,412","61,685,825","19,704,281","6,022,186","165,170,678","51,030,981","22,226,078","27,113,237","53,657,311","30,521,423","9,346,677","62,674,046","99,288,420","79,613,378","56,803,289","14,663,380","49,565,995","5,776,360","15,863,088","27,937,537","9,787,340","97,855,546","15,363,673","375,381,444","47,106,617","9,325,690","93,516,146","19,158,691","43,250,453","128,308,376","12,121,151","37,786,307","6,665,006","50,920,144","305,894,435","21,918,230","4,420,001","67,306,265","90,108,172","17,020,686","48,146,113","2,012,771"
