F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
     From local governments1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
General revenue from own sources,"2,562,058,069",0.10,"30,374,610",0.35,"7,834,812",0.13,"38,161,100",0.18,"18,171,195",0.74,"393,293,491",0.50,"44,628,094",0.59,"35,582,537",0.16,"8,169,626",0.00,"9,613,989",0.00,"133,518,035",0.27,"60,456,969",0.27,"14,498,538",0.00,"9,893,031",0.35,"101,990,072",0.39,"46,681,638",0.41,"26,433,636",0.39,"23,845,489",0.43,"26,024,343",0.26,"29,572,425",0.22,"9,621,684",0.82,"50,708,332",0.07,"63,790,161",0.32,"68,434,883",0.32,"49,964,796",0.44,"18,289,427",0.18,"36,718,192",0.76,"6,317,374",0.17,"14,799,713",0.60,"19,280,082",0.03,"9,774,596",1.27,"86,658,014",0.84,"14,331,898",0.09,"243,131,861",0.13,"67,428,392",0.23,"8,259,138",0.25,"82,786,820",0.42,"23,995,236",0.33,"34,853,413",0.38,"98,525,949",0.27,"8,509,708",0.06,"34,146,024",0.18,"5,467,786",1.89,"36,321,259",0.40,"189,989,010",0.33,"23,606,657",0.45,"5,255,322",0.54,"66,729,276",0.27,"66,322,355",0.51,"11,423,180",0.13,"41,716,147",0.28,"6,157,753",0.47
    Taxes,"1,773,631,514",0.11,"17,114,744",0.49,"3,564,487",0.18,"27,442,061",0.22,"12,575,877",1.05,"273,732,815",0.54,"29,508,203",0.66,"30,008,842",0.17,"5,333,308",0.01,"7,970,767",0.00,"83,734,511",0.30,"40,944,791",0.22,"10,363,369",0.00,"6,724,959",0.48,"79,024,846",0.43,"30,134,424",0.31,"16,186,662",0.37,"15,104,067",0.59,"17,913,939",0.34,"20,381,889",0.20,"7,429,827",1.04,"39,377,616",0.07,"48,014,061",0.42,"43,661,142",0.31,"36,181,656",0.45,"11,202,415",0.20,"24,337,196",0.67,"4,518,694",0.14,"10,383,572",0.74,"14,216,402",0.04,"7,230,773",1.72,"66,522,758",1.08,"8,527,817",0.13,"190,037,959",0.15,"42,297,110",0.31,"5,557,765",0.20,"54,714,733",0.47,"14,992,083",0.43,"20,852,748",0.58,"69,886,868",0.22,"6,038,240",0.08,"18,871,639",0.28,"3,764,321",2.74,"23,869,907",0.47,"128,918,383",0.41,"14,301,696",0.20,"3,951,844",0.71,"43,315,275",0.38,"43,489,811",0.58,"7,548,498",0.09,"28,969,312",0.30,"2,884,830",0.80
          Property,"547,386,819",0.29,"2,846,125",0.81,"1,613,310",0.13,"7,974,960",0.51,"2,434,526",5.30,"67,396,812",1.59,"8,861,273",1.76,"11,017,132",0.46,"898,557",0.04,"2,624,083",0.00,"28,801,579",0.74,"12,677,258",0.60,"1,928,566",0.00,"1,766,701",1.81,"29,164,915",1.14,"6,560,335",1.39,"5,290,307",1.05,"4,687,978",1.84,"3,736,700",1.40,"4,037,405",0.20,"3,022,577",2.56,"10,376,983",0.25,"17,455,193",1.16,"14,635,989",0.93,"9,466,681",1.71,"3,137,974",0.70,"6,444,676",1.69,"1,766,009",0.35,"3,946,232",1.92,"3,159,814",0.16,"4,627,715",2.68,"30,564,663",2.36,"1,731,988",0.55,"58,791,416",0.43,"10,364,411",1.19,"1,062,538",1.06,"15,975,950",1.36,"3,009,133",0.30,"6,571,798",1.77,"20,138,200",0.52,"2,608,634",0.13,"6,233,467",0.82,"1,364,328",7.56,"5,457,237",1.49,"57,024,030",0.82,"3,319,187",0.73,"1,654,929",1.69,"14,566,584",1.09,"12,210,503",1.95,"1,719,829",0.29,"9,539,924",0.87,"1,119,706",1.52
          Sales and gross receipts,"618,251,105",0.17,"8,418,685",0.81,"630,901",0.95,"13,447,241",0.31,"6,303,628",0.43,"80,335,950",1.18,"10,862,214",1.07,"7,556,076",0.00,"602,985",0.00,"1,936,523",0.00,"45,074,482",0.21,"14,338,111",0.32,"5,183,519",0.00,"2,440,544",0.08,"25,134,028",0.22,"12,364,121",0.05,"5,299,710",0.40,"5,941,233",0.35,"6,509,154",0.42,"11,721,299",0.34,"2,256,505",0.01,"10,567,488",0.02,"9,462,023",0.05,"14,668,973",0.01,"11,114,842",0.07,"5,144,442",0.07,"9,315,053",1.30,"664,993",0.00,"3,000,917",0.21,"9,122,192",0.00,"1,032,584",0.04,"15,574,374",0.03,"4,157,948",0.15,"45,998,955",0.26,"15,751,723",0.29,"1,664,802",0.08,"21,120,462",0.22,"6,596,768",0.97,"2,244,657",0.74,"22,483,722",0.01,"1,714,414",0.19,"6,079,397",0.12,"1,998,972",0.11,"14,159,027",0.54,"61,919,934",0.41,"5,319,969",0.29,"1,163,606",0.06,"10,708,433",0.35,"26,487,171",0.29,"2,869,230",0.05,"8,804,749",0.27,"982,380",1.55
               General sales,"417,433,420",0.22,"5,219,656",1.26,"249,131",1.88,"11,095,721",0.38,"4,745,203",0.56,"56,367,297",1.47,"7,907,355",1.45,"4,370,749",0.00,0,0.00,"1,493,101",0.00,"32,239,713",0.07,"9,749,111",0.36,"3,774,325",0.00,"1,799,703",0.09,"14,409,569",0.22,"7,795,091",0.00,"3,618,584",0.56,"4,473,609",0.46,"3,600,612",0.00,"8,777,486",0.45,"1,529,113",0.00,"4,716,179",0.00,"6,490,305",0.00,"9,595,949",0.00,"6,084,322",0.12,"3,557,752",0.00,"6,855,122",1.74,0,0.00,"2,322,086",0.27,"5,874,769",0.00,0,0.00,"10,459,419",0.00,"3,246,313",0.18,"31,845,558",0.38,"11,020,541",0.37,"1,152,339",0.12,"14,656,009",0.32,"5,105,561",1.25,748,0.00,"11,866,049",0.00,"1,048,957",0.00,"4,078,886",0.10,"1,486,235",0.14,"10,630,100",0.69,"44,260,473",0.56,"3,842,415",0.26,"411,629",0.00,"5,539,134",0.44,"20,054,317",0.33,"1,370,955",0.04,"5,869,688",0.29,"776,481",1.96
               Selective sales,"200,817,685",0.24,"3,199,028",0.53,"381,770",0.98,"2,351,520",0.18,"1,558,425",0.20,"23,968,653",1.89,"2,954,859",0.60,"3,185,327",0.00,"602,985",0.00,"443,422",0.00,"12,834,769",0.70,"4,589,000",0.61,"1,409,194",0.00,"640,841",0.15,"10,724,459",0.42,"4,569,030",0.14,"1,681,126",0.36,"1,467,624",0.11,"2,908,542",0.95,"2,943,813",0.14,"727,392",0.03,"5,851,309",0.03,"2,971,718",0.15,"5,073,024",0.04,"5,030,520",0.05,"1,586,690",0.23,"2,459,931",0.84,"664,993",0.00,"678,831",0.01,"3,247,423",0.00,"1,032,584",0.04,"5,114,955",0.10,"911,635",0.18,"14,153,397",0.10,"4,731,181",0.44,"512,463",0.03,"6,464,453",0.06,"1,491,207",0.29,"2,243,909",0.74,"10,617,673",0.02,"665,457",0.49,"2,000,510",0.29,"512,737",0.07,"3,528,927",0.60,"17,659,461",0.26,"1,477,554",0.80,"751,977",0.09,"5,169,300",0.56,"6,432,854",0.61,"1,498,275",0.09,"2,935,062",0.56,"205,898",0.45
                    Motor fuel,"49,972,799",0.05,"742,095",1.25,"47,149",0.00,"869,183",0.00,"492,954",0.00,"6,351,756",0.00,"675,962",0.00,"487,327",0.00,"131,864",0.00,"26,268",0.00,"3,614,594",0.66,"1,801,798",0.00,"176,032",0.00,"362,234",0.00,"1,519,042",0.00,"1,420,135",0.00,"671,937",0.00,"461,075",0.00,"702,651",0.00,"631,641",0.00,"250,468",0.00,"1,084,195",0.00,"769,144",0.00,"1,473,002",0.00,"936,893",0.00,"444,398",0.08,"717,894",0.00,"258,958",0.00,"373,889",0.00,"628,330",0.00,"183,366",0.00,"458,892",0.00,"230,303",0.00,"1,636,749",0.00,"1,974,782",0.00,"196,649",0.00,"1,912,897",0.00,"485,276",0.00,"571,230",0.23,"3,375,429",0.00,"79,858",0.00,"646,581",0.00,"187,462",0.00,"1,086,693",0.00,"3,710,307",0.00,"557,490",0.00,"125,282",0.00,"1,072,947",0.00,"1,713,782",0.00,"419,558",0.00,"1,110,775",0.00,"113,622",0.00
                    Alcoholic beverage,"7,438,327",0.25,"266,882",1.55,"45,257",0.59,"76,378",0.00,"64,295",0.03,"381,670",0.00,"46,989",0.00,"63,211",0.00,"26,556",0.00,"6,560",0.00,"293,098",0.00,"343,430",1.81,"51,383",0.00,"10,143",1.04,"365,960",0.00,"51,578",0.00,"22,183",0.00,"142,126",0.00,"145,648",0.00,"78,302",0.15,"19,647",0.00,"31,682",0.00,"85,843",0.00,"165,758",0.00,"97,599",0.00,"40,883",0.00,"38,932",0.00,"36,502",0.00,"31,230",0.00,"45,340",0.00,"12,828",0.00,"142,459",0.00,"25,450",0.00,"282,727",0.00,"489,358",0.40,"8,819",0.00,"119,262",0.00,"122,247",0.00,"18,404",0.00,"437,923",0.00,"19,918",0.00,"180,561",0.10,"19,171",0.60,"437,306",3.79,"1,321,516",0.00,"7,959",0.00,"26,969",0.00,"231,250",0.00,"370,738",0.00,"25,599",1.38,"60,878",0.00,"1,920",0.00
                    Tobacco products,"19,730,455",0.01,"211,660",1.13,"92,475",0.31,"312,808",0.00,"226,728",0.00,"2,428,121",0.00,"195,450",0.10,"376,814",0.00,"123,026",0.00,"27,956",0.00,"1,172,492",0.00,"224,910",0.00,"120,386",0.00,"51,141",0.00,"913,277",0.00,"418,810",0.00,"212,469",0.00,"130,247",0.00,"228,749",0.00,"163,782",0.00,"132,950",0.00,"372,724",0.00,"594,173",0.00,"920,907",0.00,"593,410",0.00,"139,733",0.00,"109,491",0.26,"80,530",0.00,"57,123",0.00,"177,161",0.00,"212,698",0.00,"660,315",0.00,"78,368",0.00,"1,188,143",0.00,"292,143",0.00,"28,001",0.00,"941,154",0.00,"313,411",0.00,"263,860",0.00,"1,372,695",0.00,"146,691",0.00,"27,199",0.00,"59,158",0.00,"248,673",0.00,"1,440,336",0.00,"116,727",0.00,"71,078",0.00,"219,021",0.65,"422,264",0.00,"177,840",0.00,"619,101",0.00,"22,076",0.00
                    Public utilities,"27,570,455",0.84,"834,927",1.29,"17,180",2.63,"226,448",1.48,"157,112",1.93,"3,974,164",5.12,"162,509",4.04,"261,184",0.00,"56,755",0.00,"179,065",0.00,"4,454,394",1.88,"378,888",4.01,"236,213",0.00,"41,321",2.19,"2,485,169",1.08,"262,513",1.12,"255,726",2.14,"231,021",0.54,"419,253",4.37,"174,482",2.08,"27,744",0.88,"605,403",0.04,0,0.00,"90,254",1.81,"157,639",1.37,"61,179",4.71,"370,403",5.01,"44,497",0.00,"113,165",0.02,"316,479",0.00,"52,758",0.21,"1,038,090",0.28,"85,490",1.26,"1,731,356",0.74,322,0.00,"67,220",0.02,"945,791",0.19,"142,211",2.25,"301,654",3.22,"1,170,966",0.00,"59,651",0.00,"97,509",0.80,"14,155",0.08,"101,614",4.35,"1,919,211",1.63,"237,304",1.77,"11,055",1.67,"1,117,971",0.95,"1,345,186",2.78,"145,445",0.79,"360,149",0.00,"30,261",3.05
                    Other selective sales,"96,105,648",0.43,"1,143,464",0.69,"179,709",2.05,"866,703",0.28,"617,336",0.14,"10,832,942",3.74,"1,873,949",0.88,"1,996,791",0.00,"264,784",0.00,"203,573",0.00,"3,300,190",0.67,"1,839,973",1.23,"825,180",0.00,"176,002",0.11,"5,441,011",0.67,"2,415,994",0.23,"518,811",0.48,"503,155",0.21,"1,412,241",1.46,"1,895,607",0.10,"296,583",0.00,"3,757,304",0.04,"1,522,558",0.29,"2,423,103",0.05,"3,244,979",0.03,"900,497",0.24,"1,223,210",0.73,"244,506",0.00,"103,425",0.06,"2,080,113",0.00,"570,934",0.08,"2,815,199",0.14,"492,024",0.25,"9,314,422",0.08,"1,974,576",1.05,"211,774",0.07,"2,545,349",0.12,"428,062",0.70,"1,088,761",1.23,"4,260,660",0.05,"359,339",0.90,"1,048,660",0.56,"232,792",0.15,"1,654,641",0.74,"9,268,091",0.37,"558,074",1.97,"517,593",0.12,"2,528,111",1.05,"2,580,883",0.42,"729,832",0.08,"784,159",2.08,"38,019",0.27
          Individual income,"429,819,656",0.04,"4,042,499",0.07,0,0.00,"4,545,242",0.00,"2,866,175",0.00,"95,152,230",0.00,"7,510,366",0.00,"9,724,449",0.00,"1,652,335",0.00,"2,066,842",0.00,0,0.00,"11,643,781",0.00,"2,430,032",0.00,"1,835,864",0.00,"17,282,737",0.00,"9,522,723",0.17,"4,001,869",0.00,"3,414,656",0.01,"5,958,647",0.20,"3,246,226",0.00,"1,605,096",0.00,"14,915,321",0.09,"16,280,331",0.00,"10,718,144",0.07,"11,882,330",0.00,"1,852,937",0.00,"6,927,265",0.04,"1,304,315",0.00,"2,360,596",0.00,0,0.00,"105,759",0.00,"15,037,845",0.00,"1,071,125",0.00,"65,299,911",0.00,"12,609,608",0.00,"367,635",0.00,"14,500,100",0.86,"3,260,447",0.00,"8,879,552",0.00,"18,161,803",0.55,"1,329,152",0.00,"4,432,104",0.00,0,0.00,"246,508",0.00,0,0.00,"4,661,910",0.00,"819,330",0.00,"14,105,766",0.00,0,0.00,"1,950,571",0.00,"8,237,522",0.00,0,0.00
          Corporate income,"56,871,269",0.04,"577,516",0.00,"196,321",0.00,"378,845",0.00,"390,756",0.00,"12,488,304",0.00,"782,679",0.00,"770,941",0.00,"261,252",0.00,"574,745",0.00,"2,426,900",0.00,"1,004,298",0.00,"146,831",0.00,"240,809",0.00,"3,319,420",0.00,"698,725",0.00,"443,187",0.00,"437,967",0.00,"932,074",0.38,"358,208",0.00,"185,737",0.00,"1,033,175",0.00,"2,408,947",0.00,"971,032",0.00,"1,357,004",0.00,"437,407",0.00,"411,480",0.00,"175,954",0.00,"313,690",0.00,0,0.00,"790,011",0.00,"2,235,653",0.00,"111,297",0.00,"9,846,103",0.00,"742,512",0.00,"107,277",0.00,"273,236",7.23,"234,817",0.00,"897,853",0.00,"2,942,508",0.00,"118,118",0.00,"404,164",0.00,"32,376",0.00,"1,644,159",0.00,0,0.00,"460,657",0.00,"110,819",0.00,"1,165,610",0.00,0,0.00,"110,068",0.00,"919,826",0.00,0,0.00
          Motor vehicle license,"29,834,732",0.09,"245,669",2.21,"57,864",0.03,"232,068",0.00,"164,617",0.00,"4,686,466",0.02,"679,243",0.09,"238,351",0.00,"58,969",0.00,"39,514",0.00,"1,449,604",0.00,"395,140",0.00,"407,787",0.00,"204,624",0.05,"1,648,547",0.01,"370,696",0.80,"683,414",0.11,"249,921",0.55,"225,203",0.08,"82,846",0.31,"112,744",0.00,"501,417",0.00,"444,827",0.00,"1,337,873",0.00,"813,067",0.21,"158,283",0.00,"311,158",0.39,"177,302",0.03,"204,902",0.84,"198,263",0.00,"82,270",0.00,"657,956",0.00,"217,013",0.04,"1,574,134",0.11,"954,311",0.25,"118,353",0.00,"880,399",0.91,"743,776",0.01,"552,979",0.00,"1,183,964",0.00,"29,352",0.00,"303,655",0.19,"114,332",1.53,"518,900",0.94,"2,713,279",0.85,"225,495",0.00,"72,971",0.00,"588,572",0.62,"1,254,931",0.12,"4,513",0.00,"548,454",0.06,"114,746",0.00
          Other taxes,"91,467,933",0.44,"984,249",4.47,"1,066,091",0.01,"863,705",1.51,"416,175",0.33,"13,673,053",2.70,"812,428",3.18,"701,894",0.25,"1,859,210",0.00,"729,060",0.00,"5,981,947",1.66,"886,203",2.09,"266,634",0.00,"236,418",1.44,"2,475,199",0.87,"617,825",1.46,"468,174",0.73,"372,312",1.21,"552,161",0.51,"935,905",0.61,"247,169",0.36,"1,983,232",0.13,"1,962,739",0.28,"1,329,130",0.60,"1,547,733",0.49,"471,372",0.58,"927,563",2.16,"430,122",0.04,"557,235",1.63,"1,736,133",0.00,"592,433",0.92,"2,452,267",0.89,"1,238,446",0.05,"8,527,440",0.34,"1,874,545",0.60,"2,237,160",0.01,"1,964,586",0.77,"1,147,143",0.22,"1,705,909",1.49,"4,976,672",0.90,"238,570",0.00,"1,418,852",1.02,"254,313",0.61,"1,844,077",0.42,"7,261,140",0.47,"314,479",1.21,"130,188",0.29,"2,180,310",0.63,"3,537,207",1.14,"894,288",0.53,"918,837",0.74,"667,999",0.35
     Charges and miscellaneous general revenue,"788,426,554",0.20,"13,259,866",0.48,"4,270,325",0.18,"10,719,039",0.31,"5,595,319",0.44,"119,560,676",1.10,"15,119,891",1.16,"5,573,695",0.43,"2,836,317",0.00,"1,643,222",0.00,"49,783,524",0.51,"19,512,178",0.69,"4,135,169",0.00,"3,168,072",0.41,"22,965,226",0.88,"16,547,214",1.01,"10,246,975",0.82,"8,741,422",0.60,"8,110,403",0.36,"9,190,536",0.56,"2,191,856",0.56,"11,330,717",0.15,"15,776,100",0.26,"24,773,741",0.70,"13,783,140",1.08,"7,087,011",0.33,"12,380,996",1.81,"1,798,680",0.48,"4,416,141",1.05,"5,063,680",0.06,"2,543,824",0.31,"20,135,256",0.41,"5,804,081",0.11,"53,093,903",0.27,"25,131,282",0.29,"2,701,373",0.64,"28,072,087",0.83,"9,003,153",0.49,"14,000,666",0.41,"28,639,081",0.78,"2,471,468",0.11,"15,274,386",0.19,"1,703,465",0.49,"12,451,352",0.75,"61,070,627",0.54,"9,304,960",1.10,"1,303,478",0.37,"23,414,000",0.33,"22,832,543",0.98,"3,874,682",0.34,"12,746,835",0.63,"3,272,922",0.52
